# 词语表 · 课本用到的那部分（词 + 拼音）
#
# 原表取自汉语拼音辞典 https://github.com/mapull/chinese-dictionary
# （经 https://github.com/zispace/hanzi-words 整理），三十多万条，太大不入库。
# 这里只留在五本课本里真出现过的，别的用不上。
#
# 原表有错（「一不做，二不休」注成 yī bū zuò），所以只作词的边界用，
# 注音一律和 pypinyin 交叉验证，两边一致才收；课本自己注过音的以课本为准。
一一	yī yī
一丁	yī dīng
一丁点	yī dīng diǎn
一丁点儿	yī dīng diǎn ér
一下	yī xià
一下子	yī xià zi
一世	yī shì
一世之雄	yī shì zhī xióng
一世界	yī shì jiè
一丝	yī sī
一丝一毫	yī sī yī háo
一个	yí gè
一个劲	yí gè jìn
一个劲儿	yí gè jìn ér
一举	yī jǔ
一举一动	yī jǔ yī dòng
一九	yī jiǔ
一书	yī shū
一事	yī shì
一二	yī èr
一二三	yī èr sān
一些	yī xiē
一人	yī rén
一代	yí dài
一任	yī rèn
一伙	yī huǒ
一会	yī huì
一会儿	yī huì er
一体	yī tǐ
一例	yī lì
一停	yī tíng
一元	yī yuán
一光	yī guāng
一党	yī dǎng
一共	yī gòng
一再	yī zài
一准	yī zhǔn
一出	yī chū
一刀两断	yī dāo liǎng duàn
一切	yī qiè
一到	yī dào
一刹那	yī chà nà
一刹那间	yī chà nà jiān
一刻	yī kè
一动	yī dòng
一动不动	yī dòng bù dòng
一劳永逸	yī láo yǒng yì
一匹	yì pǐ
一半	yí bàn
一卦	yī guà
一去不返	yī qù bù fǎn
一发	yī fà
一口	yī kǒu
一口气	yì kǒu qì
一叶	yī yè
一叶扁舟	yī yè piān zhōu
一同	yī tóng
一吐	yī tǔ
一向	yí xiàng
一周	yī zhōu
一周遭	yī zhōu zāo
一味	yī wèi
一呼	yī hū
一回	yī huí
一团糟	yī tuán zāo
一地	yī dì
一地里	yī dì lǐ
一场	yī chǎng
一块儿	yī kuài ér
一块肉	yī kuài ròu
一壶	yī hú
一夕	yī xī
一夜	yī yè
一大早	yī dà zǎo
一天	yī tiān
一天到晚	yī tiān dào wǎn
一夫	yī fū
一夫当关	yī fū dāng guān
一头	yī tóu
一女	yī nǚ
一好	yī hǎo
一如	yī rú
一如既往	yī rú jì wǎng
一字一句	yī zì yī jù
一字一板	yī zì yī bǎn
一字一泪	yī zì yī lèi
一字千金	yī zì qiān jīn
一宗	yī zōng
一定	yí dìng
一宫	yī gōng
一家伙	yī jiā huǒ
一封	yī fēng
一小会	yī xiǎo huì
一尺	yī chǐ
一屁股	yī pì gǔ
一属	yī shǔ
一己	yī jǐ
一帆风	yī fān fēng
一帆风顺	yī fán fēng shùn
一带	yī dài
一席	yī xí
一席话	yī xí huà
一平	yī píng
一年生	yī nián shēng
一并	yī bìng
一度	yí dù
一式	yī shì
一往无前	yī wǎng wú qián
一律	yī lǜ
一心	yī xīn
一心一意	yī xīn yī yì
一息	yī xī
一恸	yī tòng
一意	yī yì
一成	yì chéng
一截	yī jié
一房	yī fáng
一手	yī shǒu
一手把	yī shǒu bǎ
一打	yī dǎ
一扫而空	yī sǎo ér kōng
一技之长	yī jì zhī cháng
一把抓	yī bǎ zhuā
一招	yī zhāo
一指	yī zhǐ
一挺	yī tǐng
一掷	yī zhì
一撒	yī sā
一支	yī zhī
一文	yī wén
一斑	yī bān
一新	yī xīn
一旁	yī páng
一无所得	yī wú suǒ dé
一无所有	yī wú suǒ yǒu
一无所知	yī wú suǒ zhī
一无所获	yī wú suǒ huò
一日	yī rì
一旦	yí dàn
一早	yī zǎo
一时	yī shí
一时间	yī shí jiān
一晃	yī huǎng
一曲	yī qū
一月	yí yuè
一服	yī fù
一望	yī wàng
一望无边	yī wàng wú biān
一朝	yī zhāo
一本	yī běn
一条	yī tiáo
一条心	yī tiáo xīn
一来	yī lái
一杯	yī bēi
一板	yī bǎn
一样	yī yàng
一桩	yī zhuāng
一椽	yī chuán
一概	yī gài
一次性	yí cì xìng
一比	yī bǐ
一气	yī qì
一波	yī bō
一波三折	yī bō sān zhé
一注	yī zhù
一流	yì liú
一清二楚	yī qīng èr chǔ
一清早	yī qīng zǎo
一溜	yī liū
一滴	yī dī
一灯如豆	yī dēng rú dòu
一点	yì diǎn
一点儿	yì diǎn ér
一点点	yì diǎn diǎn
一片	yī piàn
一片汪洋	yī piàn wāng yáng
一片漆黑	yī piàn qī hēi
一片石	yī piàn shí
一版	yī bǎn
一物	yī wù
一理	yī lǐ
一生	yī shēng
一番	yī fān
一百	yì bǎi
一盏	yī zhǎn
一盘棋	yī pán qí
一目	yī mù
一目了然	yī mù liǎo rán
一直	yì zhí
一眨眼	yī zhǎ yǎn
一着	yī zhe
一瞥	yī piē
一瞬	yī shùn
一知半解	yī zhī bàn jiě
一种	yī zhǒng
一稔	yī rěn
一窝蜂	yī wō fēng
一章	yī zhāng
一端	yī duān
一笔抹杀	yī bǐ mǒ shā
一算	yī suàn
一篑	yī kuì
一簇	yī cù
一粟	yī sù
一系列	yī xì liè
一级	yī jí
一纸	yī zhǐ
一线	yī xiàn
一线希望	yī xiàn xī wàng
一经	yī jīng
一统	yī tǒng
一统天下	yī tǒng tiān xià
一群	yī qún
一联	yī lián
一肚子	yī dǔ zi
一股脑儿	yī gǔ nǎo er
一肩	yī jiān
一能	yī néng
一脉	yī mài
一脉相承	yī mài xiāng chéng
一脚	yī jiǎo
一腔	yī qiāng
一腔热血	yī qiāng rè xuè
一致	yí zhì
一般	yì bān
一色	yī sè
一苇	yī wěi
一行	yī xíng
一行人	yī xíng rén
一要	yī yào
一览	yī lǎn
一觉	yī jiào
一觞一咏	yī shāng yī yǒng
一言	yī yán
一言一行	yī yán yī xíng
一言不发	yī yán bù fā
一言难尽	yī yán nán jìn
一误再误	yī wù zài wù
一谈	yī tán
一贯	yí guàn
一起	yì qǐ
一起头	yì qǐ tóu
一路	yī lù
一路平安	yī lù píng ān
一身	yī shēn
一转	yī zhuǎn
一轮	yī lún
一辈	yī bèi
一辈子	yī bèi zi
一辞	yī cí
一边	yī biān
一连	yī lián
一连串	yī lián chuàn
一通	yí tòng
一道	yī dào
一针	yī zhēn
一针见血	yī zhēn jiàn xiě
一钱	yī qián
一钱不值	yī qián bù zhí
一门	yī mén
一间	yī jiān
一阵	yī zhèn
一阵风	yī zhèn fēng
一陌	yī mò
一障	yī zhàng
一霎	yī shà
一面	yí miàn
一顿	yī dùn
一领	yī lǐng
一齐	yī qí
丁令	dīng lìng
丁宁	dīng níng
丁灵	dīng líng
丁点	dīng diǎn
丁点儿	dīng diǎn er
七七	qī qī
七七事变	qī qī shì biàn
七事	qī shì
七人	qī rén
七八	qī bā
七军	qī jūn
七十二	qī shí èr
七声	qī shēng
七夕	qī xī
七尺	qī chǐ
七律	qī lǜ
七手八脚	qī shǒu bā jiǎo
七星	qī xīng
七月	qī yuè
七月七	qī yuè qī
七条	qī tiáo
七百	qī bǎi
七窍	qī qiào
七窍流血	qī qiào liú xuè
七篇	qī piān
七言	qī yán
七言律	qī yán lǜ
七言律诗	qī yán lǜ shī
七言诗	qī yán shī
七贤	qī xián
七零八落	qī líng bā luò
万一	wàn yī
万万	wàn wàn
万不得已	wàn bù dé yǐ
万世	wàn shì
万世之业	wàn shì zhī yè
万乘	wàn chéng
万事	wàn shì
万众	wàn zhòng
万众一心	wàn zhòng yī xīn
万分	wàn fēn
万分之一	wàn fēn zhī yī
万化	wàn huà
万千	wàn qiān
万古	wàn gǔ
万古不变	wàn gǔ bù biàn
万夫	wàn fū
万岁	wàn suì
万年	wàn nián
万念俱灰	wàn niàn jù huī
万恶	wàn è
万户	wàn hù
万户侯	wàn hù hòu
万有	wàn yǒu
万水千山	wàn shuǐ qiān shān
万流	wàn liú
万物	wàn wù
万状	wàn zhuàng
万籁	wàn lài
万类	wàn lèi
万能	wàn néng
万象	wàn xiàng
万里	wàn lǐ
万里无云	wàn lǐ wú yún
万难	wàn nán
万顷	wàn qǐng
万马奔腾	wàn mǎ bēn téng
丈二	zhàng èr
丈人	zhàng rén
丈人行	zhàng rén háng
丈夫	zhàng fū
丈母	zhàng mǔ
丈量	zhàng liáng
三一	sān yī
三七	sān qī
三三	sān sān
三三两两	sān sān liǎng liǎng
三三五五	sān sān wǔ wǔ
三世	sān shì
三两	sān liǎng
三二	sān èr
三五	sān wǔ
三人成虎	sān rén chéng hǔ
三仙	sān xiān
三代	sān dài
三伏	sān fú
三余	sān yú
三元	sān yuán
三八	sān bā
三公子	sān gōng zi
三分	sān fēn
三刻	sān kè
三匝	sān zā
三十	sān shí
三十六	sān shí liù
三千	sān qiān
三原	sān yuán
三变	sān biàn
三号	sān hào
三叹	sān tàn
三吴	sān wú
三周	sān zhōu
三哲	sān zhé
三四	sān sì
三回五次	sān huí wǔ cì
三国	sān guó
三大	sān dà
三天	sān tiān
三学	sān xué
三害	sān hài
三寸	sān cùn
三峡	sān xiá
三川	sān chuān
三座大山	sān zuò dà shān
三张	sān zhāng
三弦	sān xián
三径	sān jìng
三折	sān zhé
三推	sān tuī
三推六问	sān tuī liù wèn
三教	sān jiào
三方	sān fāng
三日	sān rì
三时	sān shí
三星	sān xīng
三更	sān gēng
三更半夜	sān gēng bàn yè
三月二	sān yuè èr
三本	sān běn
三条	sān tiáo
三杯两盏	sān bēi liǎng zhǎn
三次	sān cì
三点	sān diǎn
三王	sān wáng
三番	sān fān
三百	sān bǎi
三皇五帝	sān huáng wǔ dì
三矢	sān shǐ
三福	sān fú
三秋	sān qiū
三种	sān zhǒng
三秦	sān qín
三章	sān zhāng
三等	sān děng
三类	sān lèi
三纲	sān gāng
三结合	sān jié hé
三维空间	sān wéi kōng jiān
三能	sān néng
三至	sān zhì
三致志	sān zhì zhì
三节	sān jié
三表	sān biǎo
三角	sān jiǎo
三角形	sān jiǎo xíng
三言	sān yán
三言两语	sān yán liǎng yǔ
三足	sān zú
三通	sān tōng
三道	sān dào
三道头	sān dào tóu
三遗矢	sān yí shǐ
三郎	sān láng
三都	sān dōu
三门	sān mén
三门峡	sān mén xiá
三闾	sān lǘ
三闾大夫	sān lǘ dài fū
三面	sān miàn
三顾	sān gù
三顾茅庐	sān gù máo lú
三驱	sān qū
上上	shàng shàng
上上下下	shàng shàng xià xià
上下	shàng xià
上下同欲	shàng xià tóng yù
上下文	shàng xià wén
上世	shàng shì
上中	shàng zhōng
上乘	shàng chéng
上九	shàng jiǔ
上书	shàng shū
上书言事	shàng shū yán shì
上交	shàng jiāo
上人	shàng rén
上任	shàng rèn
上传	shàng chuán
上位	shàng wèi
上信	shàng xìn
上六	shàng liù
上兵	shàng bīng
上则	shàng zé
上利	shàng lì
上升	shàng shēng
上午	shàng wǔ
上印	shàng yìn
上去	shǎng qù
上变	shàng biàn
上口	shàng kǒu
上司	shàng sī
上启	shàng qǐ
上命	shàng mìng
上品	shàng pǐn
上善	shàng shàn
上回	shàng huí
上国	shàng guó
上地	shàng dì
上坐	shàng zuò
上坟	shàng fén
上城	shàng chéng
上堂	shàng táng
上士	shàng shì
上夜	shàng yè
上大夫	shàng dài fū
上天	shàng tiān
上头	shàng tou
上奏	shàng zòu
上女	shàng nǚ
上好	shàng hǎo
上学	shàng xué
上官	shàng guān
上家	shàng jiā
上寻	shàng xún
上封	shàng fēng
上层	shàng céng
上层建筑	shàng céng jiàn zhù
上山	shàng shān
上岸	shàng àn
上工	shàng gōng
上年	shàng nián
上年纪	shàng nián jì
上床	shàng chuáng
上开	shàng kāi
上当	shàng dàng
上成	shàng chéng
上房	shàng fáng
上手	shàng shǒu
上才	shàng cái
上报	shàng bào
上拂	shàng fú
上指	shàng zhǐ
上文	shàng wén
上方	shàng fāng
上旅	shàng lǚ
上旬	shàng xún
上时	shàng shí
上月	shàng yuè
上朝	shàng cháo
上来	shàng lái
上林	shàng lín
上林苑	shàng lín yuàn
上架	shàng jià
上根	shàng gēn
上梁	shàng liáng
上次	shàng cì
上水	shàng shuǐ
上流	shàng liú
上测	shàng cè
上浮	shàng fú
上海市	shàng hǎi shì
上游	shàng yóu
上演	shàng yǎn
上火	shàng huǒ
上灯	shàng dēng
上烈	shàng liè
上班	shàng bān
上用	shàng yòng
上画	shàng huà
上白	shàng bái
上皇	shàng huáng
上盖	shàng gài
上相	shàng xiàng
上眼	shàng yǎn
上知	shàng zhī
上神	shàng shén
上祭	shàng jì
上种	shàng zhǒng
上科	shàng kē
上稍	shàng shāo
上空	shàng kōng
上端	shàng duān
上第	shàng dì
上系	shàng xì
上级	shàng jí
上网	shàng wǎng
