# 词 	 拼音 	 题型 	 词源 	 释义 	 释义来源 	 例句 	 例句出处 	 课本里出现次数
青蒿	qīng hāo	写	词典	菊科二年生草本植物。叶互生，细裂如丝，有特殊气味。茎、叶可入药。嫩者可食	新华	研究的转折点出现在{青蒿}上	青蒿素：人类征服疾病的一小步	56
青蒿素	qīng hāo sù	写	词典			后来我们将其命名为“{青蒿素}”。	青蒿素：人类征服疾病的一小步	42
琵琶	pí pá	写	词典			忽闻水上{琵琶}声，主人忘归客不发。	琵琶行并序	27
刽子	guì zi	写	词典	执行死刑的人	新华	（{刽子}云）婆子靠后。	窦娥冤（节选）	18
箜篌	kōng hóu	写	词典	古代拨弦乐器名。有竖式和卧式两种	新华	十四能裁衣，十五弹{箜篌}	孔雀东南飞并序	17
橐驼	tuó tuó	写	词典	即骆驼	新华	郭{橐驼}，不知始何名。	种树郭橐驼传	13
樊哙	fán kuài	都考	课本	刘邦的部下	课本	于是张良至军门见{樊哙}。	鸿门宴	12
陛下	bì xià	写	词典	对君主的尊称	新华	此数宝者，秦不生一焉，而{陛下}说之，何也？	谏逐客书	11
芣苢	fú yǐ	写	词典			采采{芣苢}，薄言采之。	芣苢	10
庖丁	páo dīng	写	词典	厨师	新华	吾闻{庖丁}之言，得养生焉。”	庖丁解牛	9
桅杆	wéi gān	写	词典	见桅竿；轮船上悬挂信号、装设天线、支撑观测台的高杆	新华	他终于放下{桅杆}，站了起来。	老人与海（节选）	9
猪猡	zhū luó	写	词典	方言。猪；詈词	新华	还躺着，{猪猡}！”	包身工	9
窈窕	yǎo tiǎo	写	词典	幽深的样子	课本	既{窈窕}以寻壑，亦崎岖而经丘。	归去来兮辞并序	9
融为一体	róng wéi yī tǐ	读	成语	融合为整体。比喻几种事物关系密切，配合自然，如同一个整体	成语	有一体之治，故能出号令，明宪法矣。	《管子·七法》	9
袅袅	niǎo niǎo	写	词典	形容声音婉转悠长	课本	其声呜呜然，如怨如慕，如泣如诉，余音{袅袅}，不绝如缕。	赤壁赋	9
呦呦	yōu yōu	写	词典	拟声词呦呦鹿鸣｜呦呦有声｜呦呦地哭了	新华	{呦呦}鹿鸣，食野之苹。	短歌行	8
唢呐	suǒ nà	写	词典	波斯语surn?的译音。或译为苏尔奈、琐?、唢拿、唆呐、锁呐。簧管乐器	新华	那一伙人来了，两个吹{唢呐}的	边城（节选）	8
商鞅	shāng yāng	写	词典	公孙氏，名鞅，卫国人，战国时政治家	课本	孝公用{商鞅}之法，移风易俗	谏逐客书	8
字里行间	zì lǐ háng jiān	读	成语	指文章的某种思想感情没有直接说出而是通过全篇或全段文字透露出来	成语	垂示三首，风云吐于行间，珠玉生于字里。	《答新渝侯和诗书》	8
札记	zhá jì	写	词典	文体名。指读书时摘记要点、心得或随时记录所闻所见的文字	新华	写一则语言{札记}。	第八单元	8
朱熹	zhū xī	写	词典			比如宋朝的{朱熹}，他曾经给《论语》做过注解	第八单元	8
笺注	jiān zhù	写	词典			虽然被誉为“不见有斧凿痕”（宋李公焕《{笺注}陶渊明集》引李格非评语）	石钟山记	8
阏氏	è shì	写	词典	匈奴单于正妻的称号	课本	后月余，单于出猎，独{阏氏}子弟在。	苏武传	8
归去来兮	guī qù lái xī	写	成语	归返回。回去吧。指归隐乡里	成语	{归去来兮}，请息交以绝游。	归去来兮辞并序	7
俨然	yǎn rán	写	词典	严肃庄重的样子；引申为一本正经、煞有介事的样子	新华	循陵而走，见蹲石鳞鳞，{俨然}类画。	促织	6
兴高采烈	xìng gāo cǎi liè	读	成语	兴原指志趣，后指兴致；采原指神采，后指精神；烈旺盛	成语	步夜俊侠，故兴高而采烈。	《文心雕龙·体性》	6
奄奄	yǎn yǎn	写	词典	暗沉沉的	课本	{奄奄}黄昏后，寂寂人定初。	孔雀东南飞并序	6
