# 自拟释义　词 ⇥ 释义 ⇥ 例句（可空） ⇥ 拼音订正（可空）
#
# 课本注释、成语释义、新华词语三本都查不着的词，写在这儿。页面上标成「自拟」，
# 跟课本、成语、新华三级分得开——查不到这件事本身就说明考察概率低，
# 别让人误当权威。
#
# 这是**人工账本**：words.py 只读不写，重跑不会冲掉（和 tools/hardchars.tsv 一个机制）。
# 词是 words.py 报在 extract/缺释义.txt 里的，补完这张表再跑一次就进 data.js。
#
# 第四列是拼音订正：自动注音错了、又确实该收的词写在这儿，覆盖 pypinyin 的结果。
# 现在只有「岑参」一条——诗人名里的「参」读 shēn，机器按常用音注成 cān。
#
# 人名按使用者定的写法：人名，字…号…，某朝某家，写过《…》。

# ── 人名 ──
朱熹	人名，字元晦，号晦庵，南宋理学家，写过《四书章句集注》。
姜夔	人名，字尧章，号白石道人，南宋词人，写过《扬州慢》《暗香》《疏影》。	南宋词人{姜夔}过扬州，见劫后荒城，写下《扬州慢》。
张岱	人名，字宗子，号陶庵，明末清初散文家，写过《陶庵梦忆》《西湖梦寻》。	《湖心亭看雪》是{张岱}写的，末句「莫说相公痴」最有味。
曹禺	人名，原名万家宝，现代剧作家，写过《雷雨》《日出》《北京人》。	{曹禺}二十三岁写成《雷雨》，一鸣惊人。
周瑜	人名，字公瑾，东汉末年孙吴名将，赤壁之战中大破曹军。	遥想公瑾当年，说的正是赤壁破曹的{周瑜}。
姚鼐	人名，字姬传，号惜抱，清代散文家，桐城派代表，写过《登泰山记》。	{姚鼐}除夕夜登泰山，写下「苍山负雪，明烛天南」。
陈抟	人名，字图南，号扶摇子，五代宋初道士，民间称「陈抟老祖」，传说一睡百日。
卢纶	人名，字允言，唐代诗人，「大历十才子」之一，写过《塞下曲》。
温庭筠	人名，字飞卿，晚唐诗人、词人，花间词派的开创者。	花间词派以{温庭筠}为首，词风浓艳精致。
臧克家	人名，现代诗人，写过《有的人——纪念鲁迅有感》《老马》。
章士钊	人名，字行严，近代政治家、学者，曾任北洋政府教育总长。	鲁迅曾与时任教育总长的{章士钊}打过一场官司。
岑参	人名，唐代边塞诗人，写过《白雪歌送武判官归京》。诗人名里的「参」读 shēn。	「忽如一夜春风来」出自{岑参}的边塞诗。	cén shēn
齐桓公	人名，姜姓吕氏名小白，春秋时齐国国君，五霸之首，用管仲成就霸业。	{齐桓公}九合诸侯，一匡天下，靠的是管仲。
隋炀帝	人名，杨广，隋朝第二代皇帝，开凿大运河，三征高丽，终致亡国。	{隋炀帝}开运河、征高丽，把天下折腾垮了。
钟馗	传说中能捉鬼的神，旧时年节常挂他的画像驱邪。
罗睺	梵语音译，印度神话里吞食日月造成日食月食的星神，佛经中作阿修罗王。

# ── 地名、篇名 ──
濮阳	地名，在今河南省东北部，古为卫国都城。	卫国的都城在{濮阳}，今属河南。
垓下歌	篇名，项羽兵败垓下时所作的悲歌，「力拔山兮气盖世」即出于此。	项羽被围时慷慨悲吟，后人题作《{垓下歌}》。

# ── 成语与四字语 ──
旌旗蔽空	旌旗遮蔽了天空，形容军容之盛、兵马之多。
曲水流觞	古人上巳节的游戏：坐在曲折的水边，让酒杯顺流而下，停在谁面前谁就饮酒赋诗。	兰亭修禊，众人依次列坐，{曲水流觞}，饮酒赋诗。
舳舻千里	船只首尾相接绵延千里，形容船队浩大。舳是船尾，舻是船头。
前合后偃	身子前俯后仰，形容站立不稳、跌跌撞撞的样子。
呱呱而泣	婴儿哇哇地啼哭。呱呱，小儿哭声。
犯颜直谏	冒着触怒君主的危险直言规劝。
猗顿之富	像猗顿那样的富有。猗顿是战国时以煮盐畜牧致富的大商人。
疾痛惨怛	疾病痛苦、内心悲伤。怛，忧伤。
